"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"247","2022-01-30T00:00:00","PRCP","GHCND:USW00014836",3,"","","W","2400"
"248","2022-01-30T00:00:00","SNOW","GHCND:USW00014836",3,"","","W",""
"249","2022-01-30T00:00:00","TAVG","GHCND:USW00014836",-66,"H","","S",""
"250","2022-01-30T00:00:00","TMAX","GHCND:USW00014836",-10,"","","W","2400"
"251","2022-01-30T00:00:00","TMIN","GHCND:USW00014836",-88,"","","W","2400"
"252","2022-01-30T00:00:00","WDF2","GHCND:USW00014836",210,"","","W",""
"253","2022-01-30T00:00:00","WSF2","GHCND:USW00014836",45,"","","W",""
"254","2022-01-31T00:00:00","AWND","GHCND:USW00014836",27,"","","W",""
"255","2022-01-31T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"256","2022-01-31T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"257","2022-01-31T00:00:00","TAVG","GHCND:USW00014836",-36,"H","","S",""
"258","2022-01-31T00:00:00","TMAX","GHCND:USW00014836",0,"","","W","2400"
"259","2022-01-31T00:00:00","TMIN","GHCND:USW00014836",-66,"","","W","2400"
"260","2022-01-31T00:00:00","WDF2","GHCND:USW00014836",160,"","","W",""
"261","2022-01-31T00:00:00","WSF2","GHCND:USW00014836",72,"","","W",""
